"site_name"	"remote"	"no.data"
"indy_frenchcreek"	TRUE	TRUE
"indy_springcreek"	TRUE	TRUE
"indy_UNHBDC"	TRUE	TRUE
"indy_UNHBEF"	TRUE	TRUE
"indy_UNHDCF"	TRUE	TRUE
"indy_UNHGOF"	TRUE	TRUE
"indy_UNHHBF"	TRUE	TRUE
"indy_UNHLMP"	TRUE	TRUE
"indy_UNHMCQ"	TRUE	TRUE
"indy_UNHSBM"	TRUE	TRUE
"indy_UNHTPB"	TRUE	TRUE
"indy_UNHWHB"	TRUE	TRUE
"nwis_01021050"	TRUE	TRUE
"nwis_01036390"	TRUE	TRUE
"nwis_01073389"	TRUE	TRUE
"nwis_01104430"	TRUE	TRUE
"nwis_01124000"	TRUE	TRUE
"nwis_01125100"	TRUE	TRUE
"nwis_01184000"	TRUE	TRUE
"nwis_01191000"	TRUE	TRUE
"nwis_01193050"	TRUE	TRUE
"nwis_01193463"	TRUE	TRUE
"nwis_01194750"	TRUE	TRUE
"nwis_01195510"	TRUE	TRUE
"nwis_01196222"	TRUE	TRUE
"nwis_01196500"	TRUE	TRUE
"nwis_01196528"	TRUE	TRUE
"nwis_01200600"	TRUE	TRUE
"nwis_01201487"	TRUE	TRUE
"nwis_01203000"	TRUE	TRUE
"nwis_01208500"	TRUE	TRUE
"nwis_01208990"	TRUE	TRUE
"nwis_01304057"	TRUE	TRUE
"nwis_01304200"	TRUE	TRUE
"nwis_01304562"	TRUE	TRUE
"nwis_01310740"	TRUE	TRUE
"nwis_01311143"	TRUE	TRUE
"nwis_01374019"	TRUE	TRUE
"nwis_01382210"	TRUE	TRUE
"nwis_01388000"	TRUE	TRUE
"nwis_01389005"	TRUE	TRUE
"nwis_01400500"	TRUE	TRUE
"nwis_01408167"	TRUE	TRUE
"nwis_01408500"	TRUE	TRUE
"nwis_01433500"	TRUE	TRUE
"nwis_01454700"	TRUE	TRUE
"nwis_01458500"	TRUE	TRUE
"nwis_01460200"	TRUE	TRUE
"nwis_01463500"	TRUE	TRUE
"nwis_01465798"	TRUE	TRUE
"nwis_014670261"	TRUE	TRUE
"nwis_01467029"	TRUE	TRUE
"nwis_01467042"	TRUE	TRUE
"nwis_01467048"	TRUE	TRUE
"nwis_01467086"	TRUE	TRUE
"nwis_01467087"	TRUE	TRUE
"nwis_01467200"	TRUE	TRUE
"nwis_01472104"	TRUE	TRUE
"nwis_01473500"	TRUE	TRUE
"nwis_01473900"	TRUE	TRUE
"nwis_01474000"	TRUE	TRUE
"nwis_01474500"	TRUE	TRUE
"nwis_01475530"	TRUE	TRUE
"nwis_01475548"	TRUE	TRUE
"nwis_01477050"	TRUE	TRUE
"nwis_01480065"	TRUE	TRUE
"nwis_01480617"	TRUE	TRUE
"nwis_01480870"	TRUE	TRUE
"nwis_01481000"	TRUE	TRUE
"nwis_01481500"	TRUE	TRUE
"nwis_01482800"	TRUE	TRUE
"nwis_01483177"	TRUE	TRUE
"nwis_01484080"	TRUE	TRUE
"nwis_01484085"	TRUE	TRUE
"nwis_01484525"	TRUE	TRUE
"nwis_01484680"	TRUE	TRUE
"nwis_01487150"	TRUE	TRUE
"nwis_01493112"	TRUE	TRUE
"nwis_01540500"	TRUE	TRUE
"nwis_01542500"	TRUE	TRUE
"nwis_01544500"	TRUE	TRUE
"nwis_01548303"	TRUE	TRUE
"nwis_01549700"	TRUE	TRUE
"nwis_01567000"	TRUE	TRUE
"nwis_01570500"	TRUE	TRUE
"nwis_01579550"	TRUE	TRUE
"nwis_01608500"	TRUE	TRUE
"nwis_01611500"	TRUE	TRUE
"nwis_01632900"	TRUE	TRUE
"nwis_01645704"	TRUE	TRUE
"nwis_01645762"	TRUE	TRUE
"nwis_01646000"	TRUE	TRUE
"nwis_01646305"	TRUE	TRUE
"nwis_01646500"	TRUE	TRUE
"nwis_01648010"	TRUE	TRUE
"nwis_01649190"	TRUE	TRUE
"nwis_01649500"	TRUE	TRUE
"nwis_01650800"	TRUE	TRUE
"nwis_0165389205"	TRUE	TRUE
"nwis_01654000"	TRUE	TRUE
"nwis_01654500"	TRUE	TRUE
"nwis_01656903"	TRUE	TRUE
"nwis_01658000"	TRUE	TRUE
"nwis_01668000"	TRUE	TRUE
"nwis_0166818623"	TRUE	TRUE
"nwis_0166818985"	TRUE	TRUE
"nwis_01673000"	TRUE	TRUE
"nwis_02035000"	TRUE	TRUE
"nwis_02042222"	TRUE	TRUE
"nwis_0205551460"	TRUE	TRUE
"nwis_02079500"	TRUE	TRUE
"nwis_0208062765"	TRUE	TRUE
"nwis_02081022"	TRUE	TRUE
"nwis_02081094"	TRUE	TRUE
"nwis_0208114150"	TRUE	TRUE
"nwis_0208458892"	TRUE	TRUE
"nwis_0208458893"	TRUE	TRUE
"nwis_0209303205"	TRUE	TRUE
"nwis_02101726"	TRUE	TRUE
"nwis_02110400"	TRUE	TRUE
"nwis_02110500"	TRUE	TRUE
"nwis_02110550"	TRUE	TRUE
"nwis_02110701"	TRUE	TRUE
"nwis_02110704"	TRUE	TRUE
"nwis_02110777"	TRUE	TRUE
"nwis_02110802"	TRUE	TRUE
"nwis_02110815"	TRUE	TRUE
"nwis_0212378405"	TRUE	TRUE
"nwis_0212880025"	TRUE	TRUE
"nwis_02135000"	TRUE	TRUE
"nwis_02148315"	TRUE	TRUE
"nwis_02156500"	TRUE	TRUE
"nwis_02160105"	TRUE	TRUE
"nwis_02160700"	TRUE	TRUE
"nwis_02160991"	TRUE	TRUE
"nwis_02162035"	TRUE	TRUE
"nwis_02167600"	TRUE	TRUE
"nwis_02167716"	TRUE	TRUE
"nwis_02168500"	TRUE	TRUE
"nwis_02168504"	TRUE	TRUE
"nwis_02169000"	TRUE	TRUE
"nwis_02171637"	TRUE	TRUE
"nwis_02171645"	TRUE	TRUE
"nwis_02172002"	TRUE	TRUE
"nwis_02172050"	TRUE	TRUE
"nwis_021720677"	TRUE	TRUE
"nwis_021720698"	TRUE	TRUE
"nwis_021720709"	TRUE	TRUE
"nwis_021720869"	TRUE	TRUE
"nwis_02198840"	TRUE	TRUE
"nwis_02198920"	TRUE	TRUE
"nwis_02198950"	TRUE	TRUE
"nwis_02198955"	TRUE	TRUE
"nwis_021989715"	TRUE	TRUE
"nwis_021989773"	TRUE	TRUE
"nwis_021989792"	TRUE	TRUE
"nwis_021989793"	TRUE	TRUE
"nwis_0219897945"	TRUE	TRUE
"nwis_0219897993"	TRUE	TRUE
"nwis_022035975"	TRUE	TRUE
"nwis_02203603"	TRUE	TRUE
"nwis_02203655"	TRUE	TRUE
"nwis_02203700"	TRUE	TRUE
"nwis_02203831"	TRUE	TRUE
"nwis_02203863"	TRUE	TRUE
"nwis_02203873"	TRUE	TRUE
"nwis_02203900"	TRUE	TRUE
"nwis_02203950"	TRUE	TRUE
"nwis_02203960"	TRUE	TRUE
"nwis_02204037"	TRUE	TRUE
"nwis_02207135"	TRUE	TRUE
"nwis_02207160"	TRUE	TRUE
"nwis_02208450"	TRUE	TRUE
"nwis_02208493"	TRUE	TRUE
"nwis_02217643"	TRUE	TRUE
"nwis_02231254"	TRUE	TRUE
"nwis_02231291"	TRUE	TRUE
"nwis_02234000"	TRUE	TRUE
"nwis_02234500"	TRUE	TRUE
"nwis_02235500"	TRUE	TRUE
"nwis_02236000"	TRUE	TRUE
"nwis_02236125"	TRUE	TRUE
"nwis_02244040"	TRUE	TRUE
"nwis_02245260"	TRUE	TRUE
"nwis_02264000"	TRUE	TRUE
"nwis_02264100"	TRUE	TRUE
"nwis_02266200"	TRUE	TRUE
"nwis_02266300"	TRUE	TRUE
"nwis_02266495"	TRUE	TRUE
"nwis_02293249"	TRUE	TRUE
"nwis_02304000"	TRUE	TRUE
"nwis_02315626"	TRUE	TRUE
"nwis_02319302"	TRUE	TRUE
"nwis_02319520"	TRUE	TRUE
"nwis_02319950"	TRUE	TRUE
"nwis_02320250"	TRUE	TRUE
"nwis_02322688"	TRUE	TRUE
"nwis_02323502"	TRUE	TRUE
"nwis_02323566"	TRUE	TRUE
"nwis_02326526"	TRUE	TRUE
"nwis_02336120"	TRUE	TRUE
"nwis_02336152"	TRUE	TRUE
"nwis_023362095"	TRUE	TRUE
"nwis_02336240"	TRUE	TRUE
"nwis_02336300"	TRUE	TRUE
"nwis_02336313"	TRUE	TRUE
"nwis_02336340"	TRUE	TRUE
"nwis_02336360"	TRUE	TRUE
"nwis_02336410"	TRUE	TRUE
"nwis_02336526"	TRUE	TRUE
"nwis_02336728"	TRUE	TRUE
"nwis_02337170"	TRUE	TRUE
"nwis_023432415"	TRUE	TRUE
"nwis_02344630"	TRUE	TRUE
"nwis_02344673"	TRUE	TRUE
"nwis_02394682"	TRUE	TRUE
"nwis_02397530"	TRUE	TRUE
"nwis_02423130"	TRUE	TRUE
"nwis_02423160"	TRUE	TRUE
"nwis_02423397"	TRUE	TRUE
"nwis_02423496"	TRUE	TRUE
"nwis_02455980"	TRUE	TRUE
"nwis_02457595"	TRUE	TRUE
"nwis_02458450"	TRUE	TRUE
"nwis_02469100"	TRUE	TRUE
"nwis_02473085"	TRUE	TRUE
"nwis_02489800"	TRUE	TRUE
"nwis_02492620"	TRUE	TRUE
"nwis_03007800"	TRUE	TRUE
"nwis_03025500"	TRUE	TRUE
"nwis_03027500"	TRUE	TRUE
"nwis_03034000"	TRUE	TRUE
"nwis_03036000"	TRUE	TRUE
"nwis_03039035"	TRUE	TRUE
"nwis_03039036"	TRUE	TRUE
"nwis_03039040"	TRUE	TRUE
"nwis_03039041"	TRUE	TRUE
"nwis_03049640"	TRUE	TRUE
"nwis_03058000"	TRUE	TRUE
"nwis_03061000"	TRUE	TRUE
"nwis_03067510"	TRUE	TRUE
"nwis_03071590"	TRUE	TRUE
"nwis_03071600"	TRUE	TRUE
"nwis_03071605"	TRUE	TRUE
"nwis_03071690"	TRUE	TRUE
"nwis_03072655"	TRUE	TRUE
"nwis_03073000"	TRUE	TRUE
"nwis_03075070"	TRUE	TRUE
"nwis_03077100"	TRUE	TRUE
"nwis_03081000"	TRUE	TRUE
"nwis_03083500"	TRUE	TRUE
"nwis_03085002"	TRUE	TRUE
"nwis_03098600"	TRUE	TRUE
"nwis_03105500"	TRUE	TRUE
"nwis_03106000"	TRUE	TRUE
"nwis_03108490"	TRUE	TRUE
"nwis_03121850"	TRUE	TRUE
"nwis_03183500"	TRUE	TRUE
"nwis_03216070"	TRUE	TRUE
"nwis_03219500"	TRUE	TRUE
"nwis_03220510"	TRUE	TRUE
"nwis_03228039"	TRUE	TRUE
"nwis_03228300"	TRUE	TRUE
"nwis_03238140"	TRUE	TRUE
"nwis_03238745"	TRUE	TRUE
"nwis_03238772"	TRUE	TRUE
"nwis_03254520"	TRUE	TRUE
"nwis_03255349"	TRUE	TRUE
"nwis_03259757"	TRUE	TRUE
"nwis_03259813"	TRUE	TRUE
"nwis_03271510"	TRUE	TRUE
"nwis_03277075"	TRUE	TRUE
"nwis_03277130"	TRUE	TRUE
"nwis_03277200"	TRUE	TRUE
"nwis_03289000"	TRUE	TRUE
"nwis_03289193"	TRUE	TRUE
"nwis_03289200"	TRUE	TRUE
"nwis_03292470"	TRUE	TRUE
"nwis_03292474"	TRUE	TRUE
"nwis_03292475"	TRUE	TRUE
"nwis_03292480"	TRUE	TRUE
"nwis_03292500"	TRUE	TRUE
"nwis_03293000"	TRUE	TRUE
"nwis_03293500"	TRUE	TRUE
"nwis_03293510"	TRUE	TRUE
"nwis_03293530"	TRUE	TRUE
"nwis_03294570"	TRUE	TRUE
"nwis_03297800"	TRUE	TRUE
"nwis_03297900"	TRUE	TRUE
"nwis_03298000"	TRUE	TRUE
"nwis_03298135"	TRUE	TRUE
"nwis_03298150"	TRUE	TRUE
"nwis_03298200"	TRUE	TRUE
"nwis_03298250"	TRUE	TRUE
"nwis_03298300"	TRUE	TRUE
"nwis_03301900"	TRUE	TRUE
"nwis_03301940"	TRUE	TRUE
"nwis_03302000"	TRUE	TRUE
"nwis_03302030"	TRUE	TRUE
"nwis_03302050"	TRUE	TRUE
"nwis_03306000"	TRUE	TRUE
"nwis_03311000"	TRUE	TRUE
"nwis_03313000"	TRUE	TRUE
"nwis_03318010"	TRUE	TRUE
