tedlist,Staid,ted_type,lat,long,Citation
nwis_01208990,1208990,sitelist,41.29454,-73.39512,Falcone 2011
nwis_02245260,2245260,sitelist,29.729691,-81.486744,Falcone 2011
nwis_02264000,2264000,sitelist,28.390563,-81.519517,Falcone 2011
nwis_02266200,2266200,sitelist,28.385007,-81.616463,Falcone 2011
nwis_02266300,2266300,sitelist,28.332787,-81.579796,Falcone 2011
nwis_02344630,2344630,sitelist,33.357617,-84.582429,Falcone 2011
nwis_03298200,3298200,sitelist,38.085342,-85.554956,Falcone 2011
nwis_04040000,4040000,sitelist,46.720774,-89.207086,Falcone 2011
nwis_04121944,4121944,sitelist,43.430858,-85.595599,Falcone 2011
nwis_04121970,4121970,sitelist,43.434746,-85.665324,Falcone 2011
nwis_05057000,5057000,sitelist,47.432771,-98.027595,Falcone 2011
nwis_05451080,5451080,sitelist,42.543611,-93.589444,Falcone 2011
nwis_06461500,6461500,sitelist,42.902222,-100.362222,Falcone 2011
nwis_07061290,7061290,sitelist,37.493611,-90.838333,Falcone 2011
nwis_07263296,7263296,sitelist,34.878889,-92.685556,Falcone 2011
nwis_08052745,8052745,sitelist,33.219285,-96.891948,Falcone 2011
nwis_08171290,8171290,sitelist,30.005556,-97.9525,Falcone 2011
nwis_01648010,1648010,sitelist,38.960167,-77.042056,Working on it
nwis_07164500,7164500,sitelist,36.140648,-96.006387,Working on it
nwis_02203863,2203863,sitelist,33.693194,-84.253889,Working on it
nwis_02204037,2204037,sitelist,33.668442,-84.151029,Working on it
nwis_02336152,2336152,sitelist,33.810444,-84.247972,Working on it
nwis_06893350,6893350,sitelist,38.906111,-94.64,Nakagaki et al. 2016
nwis_07374000,7374000,sitelist,30.445667,-91.191556,Working on it
nwis_07381600,7381600,sitelist,29.692819,-91.211937,Working on it
nwis_01646305,1646305,sitelist,38.959777,-77.175674,Falcone 2011
nwis_040871488,40871488,sitelist,42.989722,-87.951944,Working on it
nwis_04231600,4231600,sitelist,43.141722,-77.616306,Working on it
nwis_05435943,5435943,sitelist,42.976944,-89.539444,Working on it
nwis_09327000,9327000,sitelist,39.095264,-111.178869,Working on it
nwis_10129900,10129900,sitelist,40.735226,-111.476031,Working on it
