"var_src"	"total"	"untouched"	"no_data"	"local"	"posted_untagged"	"posted_tagged"	"uncounted"	"barheight"
"doobs_nwis"	751	0	52	0	0	699	0	751
"wtr_nwis"	751	0	48	0	0	703	0	751
"disch_nwis"	751	0	314	0	0	437	0	751
"baro_nldas"	751	0	6	0	0	745	0	751
"sw_nldas"	751	0	6	0	0	745	0	751
"baro_gldas"	751	0	24	0	0	727	0	751
"sw_gldas"	751	0	24	0	0	727	0	751
"dosat_calcGGbts"	751	0	51	0	0	700	0	751
"baro_calcElev"	751	0	172	0	0	579	0	751
"dosat_calcGGbconst"	751	0	202	0	0	549	0	751
"dopsat_calcObsSat"	751	0	57	0	0	694	0	751
"depth_calcDischRaymond"	751	0	314	0	0	437	0	751
"veloc_calcDischRaymond"	751	0	314	0	0	437	0	751
"depth_calcDischHarvey"	751	0	364	0	0	387	0	751
"veloc_calcDischHarvey"	751	0	364	0	0	387	0	751
"sitetime_calcLon"	751	0	52	0	0	699	0	751
"suntime_calcLon"	751	0	52	0	0	699	0	751
"par_calcLat"	751	0	52	0	0	699	0	751
"par_calcSw"	751	0	2	0	0	749	0	751
"par_calcLatSw"	751	0	80	0	0	671	0	751
"sitedate_calcLon"	751	0	52	0	0	699	0	751
"doamp_calcDAmp"	751	0	59	0	0	692	0	751
"dischdaily_calcDMean"	751	0	335	0	0	416	0	751
"velocdaily_calcDMean"	751	0	335	0	0	416	0	751
