site_name	tsteps_min	K600_med	Qnodemin	Qnodemax
nwis_01104430	15	   0.9458	-7.5	-0.1
nwis_01124000	15	   9.0867	-1.3	 2.3
nwis_01433500	15	  11.8461	 0.1	 3.9
nwis_03027500	15	  24.2614	-0.9	 3.3
nwis_03034000	15	   5.6032	-0.3	 5.1
nwis_03072655	15	   1.8044	 2.9	 7.5
nwis_03081000	15,60	  14.3636	 2.5	 6.1
nwis_03105500	15	   0.7020	 2.7	 6.5
nwis_01474500	30	   2.4481	 2.1	 7.3
nwis_04174500	15	   8.0561	 0.5	 4.7
nwis_05518000	15	   1.0949	 2.5	 4.9
nwis_06436760	15	   3.9508	-2.9	 5.3
nwis_06478522	15	  17.2826	 0.3	 3.7
nwis_01542500	15	   7.2277	 1.7	 6.3
nwis_07109500	15,30	  12.6834	 1.3	 5.5
nwis_07263296	15	   3.9467	-7.9	 5.7
nwis_01549700	15	   2.4443	-0.1	 5.9
nwis_08057000	15	   0.6015	 2.1	 7.1
nwis_01570500	30	   1.1440	 4.5	 9.7
nwis_09326500	15	 120.7856	-0.1	 2.9
nwis_11447850	15	   2.4339	 4.3	 6.3
nwis_12100490	15	  26.3498	 2.3	 5.3
nwis_14151000	15	  22.5213	 0.3	 4.7
nwis_14162500	60	  15.4592	 3.7	 6.3
nwis_385446094430700	15	   4.0158	-4.9	 3.1
nwis_385520094420000	15	   8.6428	-1.5	 2.9
nwis_01196500	15	   2.2286	-0.3	 2.9
nwis_01208500	15	   9.4906	 0.1	 3.5
nwis_02156500	60	   5.0932	 1.5	 7.5
nwis_02160105	60	   7.1497	-0.7	 5.9
nwis_03025500	15	   5.7638	 3.9	 7.3
nwis_08412500	15	   2.9250	-1.7	 2.3
nwis_11447830	15	   3.0888	 4.1	 6.3
nwis_01125100	15	  14.2494	-1.9	 1.5
nwis_11447650	15	   3.0712	 5.1	 7.9
nwis_11455165	15	   3.6958	 3.7	 5.9
nwis_01184000	15	   4.2760	 3.9	 7.9
nwis_01193050	15	   2.0578	 5.1	 8.1
nwis_01473500	15,30	   3.3787	 2.1	 7.3
nwis_02336340	15	   6.3602	-3.5	 2.9
nwis_02336360	15	   6.7297	-4.1	 3.7
nwis_02336410	15	   7.4080	-4.3	 3.9
nwis_02336526	15	   6.2812	-4.1	 3.5
nwis_02336728	15	   8.1644	-4.3	 3.7
nwis_02337170	15,60	   2.2313	 3.1	 6.3
nwis_023432415	15	   1.7581	 2.3	 7.9
nwis_02344630	15	   4.5882	-1.9	 3.3
nwis_02492620	15	   1.7353	 2.3	 5.7
nwis_01480617	15,30	  10.2819	-1.1	 4.7
nwis_03007800	15	   3.6088	-0.9	 4.9
nwis_03036000	15,30,60	  13.1967	-0.1	 5.1
nwis_03058000	15,30,60	  13.6968	-0.7	 3.7
nwis_03061000	15,30,60	   1.6582	 0.1	 5.7
nwis_03067510	15,30	  10.1298	-1.9	 4.7
nwis_03073000	15	   6.0899	-2.1	 4.5
nwis_03075070	15,60	   2.9478	 2.1	 7.1
nwis_03083500	15,60	   0.5668	 2.7	 6.7
nwis_03098600	60	   3.2312	 1.5	 5.9
nwis_03106000	15	   3.6135	-0.3	 5.1
nwis_01480870	15,30	   7.5448	-0.5	 4.3
nwis_03121850	60	   4.1599	-3.9	 2.1
nwis_03183500	30,60	   2.7432	 0.1	 7.3
nwis_03219500	30,60	   3.6396	-1.5	 5.5
nwis_03228300	60	  12.6708	-7.5	 4.5
nwis_03255349	15	   3.5306	-0.9	 3.3
nwis_03259757	15	  23.6781	-6.1	 1.9
nwis_03259813	15	  19.2623	-4.5	 0.9
nwis_03289200	15	   9.5432	-1.1	 3.1
nwis_03292470	15	   3.9459	-5.7	 5.1
nwis_03292474	15	   8.9873	-8.3	 2.1
nwis_01481000	15,30	   4.2582	 0.7	 5.9
nwis_03292475	15	   9.7192	-7.7	 2.3
nwis_03293500	15	   2.8040	-7.7	 3.7
nwis_03293530	15	   7.8796	-5.1	 2.1
nwis_03294570	15	   2.7697	-7.9	 3.3
nwis_03297900	15	   1.2920	-5.1	 5.1
nwis_03298135	15	   8.1952	-4.3	 1.9
