"site","model_name","resolution","max_key_Rhat","is_converged","confidence"
"nwis_01104430","nwis_01104430-1-170214 1.0.1 bayes_15min","15min",12.166583605593,FALSE,NA
"nwis_01124000","nwis_01124000-2-170214 1.0.1 bayes_15min","15min",1.00651574972418,TRUE,NA
"nwis_01125100","nwis_01125100-3-170214 1.0.1 bayes_15min","15min",1.00643786953879,TRUE,NA
"nwis_01184000","nwis_01184000-4-170214 1.0.1 bayes_15min","15min",2.86346671635498,FALSE,NA
"nwis_01193050","nwis_01193050-5-170214 1.0.1 bayes_15min","15min",1.91169858644932,FALSE,NA
"nwis_01196500","nwis_01196500-6-170214 1.0.1 bayes_15min","15min",1.11577311335552,TRUE,NA
"nwis_01201487","nwis_01201487-7-170214 1.0.1 bayes_15min","15min",1.02505432933006,TRUE,NA
"nwis_01208500","nwis_01208500-8-170214 1.0.1 bayes_15min","15min",1.02947061271804,TRUE,NA
"nwis_01208990","nwis_01208990-9-170214 1.0.1 bayes_15min","15min",1.01403096453321,TRUE,NA
"nwis_01382210","nwis_01382210-10-170214 1.0.1 bayes_15min","15min",1.04788764056243,TRUE,NA
"nwis_01388000","nwis_01388000-11-170214 1.0.1 bayes_60min","60min",6.2627461058196,FALSE,NA
"nwis_01400500","nwis_01400500-12-170214 1.0.1 bayes_15min","15min",1.01821977406037,TRUE,NA
"nwis_01400500","nwis_01400500-13-170214 1.0.1 bayes_30min","30min",1.03035496916262,TRUE,NA
"nwis_01400500","nwis_01400500-14-170214 1.0.1 bayes_60min","60min",1.4093338827649,FALSE,NA
"nwis_01400500","Overall",NA,NA,NA,NA
"nwis_01408500","nwis_01408500-15-170214 1.0.1 bayes_30min","30min",1.01197805763379,TRUE,NA
"nwis_01408500","nwis_01408500-16-170214 1.0.1 bayes_60min","60min",1.19055400854806,TRUE,NA
"nwis_01408500","Overall",NA,NA,NA,NA
"nwis_01433500","nwis_01433500-17-170214 1.0.1 bayes_15min","15min",1.00644172033443,TRUE,NA
"nwis_01454700","nwis_01454700-18-170214 1.0.1 bayes_15min","15min",2.14437822899485,FALSE,NA
"nwis_01463500","nwis_01463500-19-170214 1.0.1 bayes_60min","60min",1.0301153463367,TRUE,NA
"nwis_01473500","nwis_01473500-20-170214 1.0.1 bayes_15min","15min",1.62444187240697,FALSE,NA
"nwis_01473500","nwis_01473500-21-170214 1.0.1 bayes_30min","30min",1.73733205441717,FALSE,NA
"nwis_01473500","Overall",NA,NA,NA,NA
"nwis_01474500","nwis_01474500-22-170214 1.0.1 bayes_30min","30min",2.13987484143931,FALSE,NA
"nwis_01480617","nwis_01480617-23-170214 1.0.1 bayes_15min","15min",1.04936624062496,TRUE,NA
"nwis_01480617","nwis_01480617-24-170214 1.0.1 bayes_30min","30min",5.56624341307853,FALSE,NA
"nwis_01480617","Overall",NA,NA,NA,NA
"nwis_01480870","nwis_01480870-25-170214 1.0.1 bayes_15min","15min",1.02478242833048,TRUE,NA
