attr-label,attr-def,attr-defs,data-min,data-max,data-units
date_index,"Always NA in KQ_binned.tsv. Integer index of a 24-hour period from 4am to the following 3:59am, modeled as a single date.",streamMetabolizer R package,NA,NA,NA
time_index,"Always NA in KQ_binned.tsv. Integer index of a time within a date, e.g., observations 15-minute resolution are given time_index values of 1 (4am) through 96 (3:45am nearly 24 hours later).",streamMetabolizer R package,NA,NA,NA
index,"Integer index of the lnK600_lnQ_nodes parameter described in later columns, where each indexed value of lnK600_lnQ_nodes gives a junction point of the fitted piecewise linear relationship between K600 and discharge (Q).",streamMetabolizer R package,1,75,NA
lnK600_lnQ_nodes_mean,"Mean of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.691,6.48,ln(d^-1)
lnK600_lnQ_nodes_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,0.0001998,0.5263,ln(d^-1)
lnK600_lnQ_nodes_sd,"Standard deviation of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,0.01183,0.7475,ln(d^-1)
lnK600_lnQ_nodes_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.968,5.976,ln(d^-1)
lnK600_lnQ_nodes_25pct,"The 25th quantile of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.781,6.316,ln(d^-1)
lnK600_lnQ_nodes_50pct,"The 50th quantile of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.692,6.523,ln(d^-1)
lnK600_lnQ_nodes_75pct,"The 75th quantile of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.604,6.754,ln(d^-1)
lnK600_lnQ_nodes_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,-2.445,6.919,ln(d^-1)
lnK600_lnQ_nodes_n_eff,"Estimated effective sample size of the MCMC sampling for one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip..",streamMetabolizer R package,2.001,8000,samples
lnK600_lnQ_nodes_Rhat,"R-hat statistic of the MCMC sampling for one of the lnK600_lnQ_nodes parameters describing a site-specific, piecewise linear relationship between ln(K600) and ln(Q). Each indexed parameter is the fitted ln(K600) value corresponding to a fixed value of ln(Q). The values of ln(Q) for each model are defined in the K600_lnQ_nodes_centers column of config.zip.. Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer R package,0.9982,281.7,NA
