attr-label,attr-def,attr-defs,data-min,data-max,data-units
date,"Primary date to which the fitted values apply, YYYY-MM-DD format, for the period from 4am on that date to 3:59am on the following date.",streamMetabolizer R package,2007-09-30,2016-12-31,NA
GPP_daily_mean,"Mean of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-34.52,107.3,gO2 m^-2 d^-1
GPP_daily_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,0.0003148,4.859,gO2 m^-2 d^-1
GPP_daily_sd,"Standard deviation of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,0.02815,6.896,gO2 m^-2 d^-1
GPP_daily_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-40.86,102.6,gO2 m^-2 d^-1
GPP_daily_25pct,"The 25th quantile of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-36.72,105.6,gO2 m^-2 d^-1
GPP_daily_50pct,"The 50th quantile of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-34.54,107.3,gO2 m^-2 d^-1
GPP_daily_75pct,"The 75th quantile of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-32.34,109,gO2 m^-2 d^-1
GPP_daily_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,-30.64,112,gO2 m^-2 d^-1
GPP_daily_n_eff,"Estimated effective sample size of the MCMC sampling for the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date.",streamMetabolizer R package,2.006,8000,samples
GPP_daily_Rhat,"R-hat statistic of the MCMC sampling for the GPP_daily parameter, where GPP_daily is the mean gross primary productivity (GPP) for this date. Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer R package,0.998,18.06,NA
ER_daily_mean,"Mean of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-118.3,45.52,gO2 m^-2 d^-1
ER_daily_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,0.000582,18.28,gO2 m^-2 d^-1
ER_daily_sd,"Standard deviation of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,0.05206,25.87,gO2 m^-2 d^-1
ER_daily_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the ER_daily parameter, where ER_daily is the mean ecosystem respiration (ER) for this date, and more negative values indicate more respiration.",streamMetabolizer R package,-126,37.19,gO2 m^-2 d^-1
