attr-label,attr-def,attr-defs,data-min,data-max,data-units
date_index,"Always NA in overall.tsv. Integer index of a 24-hour period from 4am to the following 3:59am, modeled as a single date.",streamMetabolizer and Stan R packages,NA,NA,NA
time_index,"Always NA in overall.tsv. Integer index of a time within a date, e.g., observations 15-minute resolution are given time_index values of 1 (4am) through 96 (3:45am nearly 24 hours later).",streamMetabolizer and Stan R packages,NA,NA,NA
index,Always 1 in overall.tsv. Integer index of the parameters described in later columns.,streamMetabolizer and Stan R packages,1,1,NA
err_obs_iid_sigma_mean,"Mean of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.000606,2.305,mgO2 L^-1
err_obs_iid_sigma_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.0000005013,0.5637,mgO2 L^-1
err_obs_iid_sigma_sd,"Standard deviation of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.00002676,0.7977,mgO2 L^-1
err_obs_iid_sigma_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.0003663,0.9605,mgO2 L^-1
err_obs_iid_sigma_25pct,"The 25th quantile of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.000515,2.087,mgO2 L^-1
err_obs_iid_sigma_50pct,"The 50th quantile of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.000613,2.58,mgO2 L^-1
err_obs_iid_sigma_75pct,"The 75th quantile of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.0006944,2.763,mgO2 L^-1
err_obs_iid_sigma_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,0.0008532,3.148,mgO2 L^-1
err_obs_iid_sigma_n_eff,"Estimated effective sample size of the MCMC sampling for the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations).",streamMetabolizer and Stan R packages,2.002,8000,samples
err_obs_iid_sigma_Rhat,"R-hat statistic of the MCMC sampling for the err_obs_iid_sigma parameter, giving the fitted standard deviation of observation errors (differences between observed and modeled oxygen concentrations). Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer and Stan R packages,0.9992,64.17,NA
err_proc_iid_sigma_mean,"Mean of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5567,93.22,gO2 m^-2 d^-1
err_proc_iid_sigma_se_mean,"Standard error of the mean of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.00003074,1.288,gO2 m^-2 d^-1
err_proc_iid_sigma_sd,"Standard deviation of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.002193,1.825,gO2 m^-2 d^-1
err_proc_iid_sigma_2.5pct,"The 2.5th quantile of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5509,92.3,gO2 m^-2 d^-1
err_proc_iid_sigma_25pct,"The 25th quantile of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5548,92.86,gO2 m^-2 d^-1
err_proc_iid_sigma_50pct,"The 50th quantile of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5567,93.21,gO2 m^-2 d^-1
err_proc_iid_sigma_75pct,"The 75th quantile of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5587,93.56,gO2 m^-2 d^-1
err_proc_iid_sigma_97.5pct,"The 97.5th quantile of the post-warmup MCMC distribution of the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,0.5625,94.19,gO2 m^-2 d^-1
err_proc_iid_sigma_n_eff,"Estimated effective sample size of the MCMC sampling for the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model).",streamMetabolizer and Stan R packages,2.009,8000,samples
err_proc_iid_sigma_Rhat,"R-hat statistic of the MCMC sampling for the err_proc_iid_sigma parameter, giving the fitted standard deviation of process errors (differences between rates of oxygen concentration change as modeled by the overall state-space model and the deterministic component of the model). Values near or below 1.05 indicate convergence of the MCMC chains.",streamMetabolizer and Stan R packages,0.9986,25.9,NA
lp___mean,Mean of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,-20890,4239725,NA
lp___se_mean,Standard error of the mean of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,2.711,27694,NA
lp___sd,Standard deviation of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,65.3,39202,NA
lp___2.5pct,The 2.5th quantile of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,-49226,4237789,NA
lp___25pct,The 25th quantile of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,-44822,4239075,NA
lp___50pct,The 50th quantile of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,-41949,4239733,NA
lp___75pct,The 75th quantile of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,-17275,4240414,NA
lp___97.5pct,The 97.5th quantile of the post-warmup MCMC distribution of log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,4173,4241507,NA
lp___n_eff,Estimated effective sample size of the MCMC sampling for log posterior density for each MCMC iteration.,streamMetabolizer and Stan R packages,2.004,1881,samples
lp___Rhat,R-hat statistic of the MCMC sampling for log posterior density for each MCMC iteration. Values near or below 1.05 indicate convergence of the MCMC chains.,streamMetabolizer and Stan R packages,0.9987,51.12,NA
