"site_no","COMID","COMID_CONFIDENCE","BFI_AC","BFI_RE","Contact_RE","Contact_AC","IEOF_RE","IEOF_AC","Rechg_RE","Rechg_AC","RF30yr_RE","RF30yr_AC","RUNOFF_RE","RUNOFF_AC","SATOF_RE","SATOF_AC"
"nwis_01021050",5197168,"MOST_SURE",57.9149,58,0,986.606,1.7816,1.7768,410,389.73,898.008,804.1128,658,659.4753,7,6.4509
"nwis_01036390",1736862,"MOST_SURE",50.6853,46.0807,222.587,343.5618,4,1.8599,326.137,334.1761,854.183,788.0886,701,725.0051,3,3.7521
"nwis_01073389",5848650,"MAYBE2",46.087,46.1877,40.1431,31.4806,1,1,234.641,233.7985,1077.1801,1077.0834,613,613,3,3
"nwis_01193050",7701224,"MOST_SURE",47.8453,51.1606,11.9519,70.152,1.7616,1.6638,324.233,290.8697,1514.63,1066.9738,679,647.2908,3.0095,2.7357
"nwis_01194750",7702872,"MAYBE2",47.9254,48,23,69.0702,0,1.6729,356.559,292.268,1616.86,1080.639,679.017,648.2574,3.9425,2.7702
"nwis_01304057",9509806,"MAYBE2",77.6484,77.6484,0,0,3.2814,3.2814,457.283,457.283,1661.4301,1661.4301,386,386,5,5
"nwis_01304200",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01304562",9496582,"MAYBE2",81.8233,76.8461,29.2828,42.1357,0,0,465.362,486.5052,1643.33,1674.7256,228,228.8188,4,4.383
"nwis_01310740",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01311143",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01374019",6216172,"MAYBE2",46.7486,46.9921,23.9605,211.0504,2,2.749,272.808,282.1176,1410.13,1080.0033,550,619.2532,3,2.5073
"nwis_01382210",6246352,"MAYBE2",45.3209,47.1489,119,99.3924,1,1.0084,284.719,261.7725,1728.54,1695.1602,479,485.4566,3,3
"nwis_01388000",6250614,"MOST_SURE",44.8054,43.1672,61,73.3233,0,1.9012,278.084,280.7193,1591.14,1626.2157,479,473.5525,4,3.0674
"nwis_01389005",6251122,"MOST_SURE",43.8472,46,82,157.5217,0.5586,1.9459,291.497,273.5132,1650,1643.7372,479,478.8174,4,3.3508
"nwis_01400500",9513852,"MOST_SURE",42.9107,32.754,595,158.4732,3.0794,2.9932,174.771,250.6167,1616.98,1640.2992,555,555.743,3,3.2071
"nwis_01408167",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01408500",9453743,"MOST_SURE",61.0687,64.7047,149.401,80.6079,0.9066,0.2925,327.731,316.2987,1690.8199,1673.7884,595,594.2342,4,3.3711
"nwis_01433500",4150156,"MOST_SURE",46.6999,41,89,259.5826,3,3.4685,271,304.5525,1323,1303.4299,637,635.8672,1,2.2097
"nwis_01454700",4188251,"MOST_SURE",55.048,55.3997,44.0447,196.6963,1.8043,3.6688,283.833,352.3175,1545.7,1511.3128,726.288,728.1555,2.9505,3.1345
"nwis_01458500",2588507,"MOST_SURE",48.2128,41.624,408.035,146.2765,7.8738,3.4352,222.676,307.6957,1616.21,1326.5082,614,605.7095,3.0315,2.6433
"nwis_01460200",932040295,"MOST_SURE",48.0444,31.5401,360.694,165.4334,6.9532,3.5099,169.193,305.4862,1620.62,1333.9223,613.429,605.8197,3.0077,2.6609
"nwis_01463500",2590277,"MOST_SURE",47.6279,37.8164,156.274,168.7996,1.0078,3.5455,203.461,301.9239,1664.99,1342.5553,612.191,605.9815,2.0498,2.672
