"filepath"	"local"	"remote"	"no.data"	"time.st"	"time.en"
".temp_ts/nwis_01021050-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01036390-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01073389-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01193050-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01194750-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01304057-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01304200-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01304562-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01310740-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01311143-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01374019-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01382210-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01388000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01389005-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01400500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01408167-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01408500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01433500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01454700-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01458500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01460200-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01463500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01465798-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_014670261-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01467029-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01467042-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01467048-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01467200-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01472104-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01473500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01474000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01474500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01477050-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01480065-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01480617-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01480870-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01481000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01481500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01482800-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01483177-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01484080-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01484085-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01484525-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01484680-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01487150-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01493112-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01540500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01542500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01544500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01548303-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01549700-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01567000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01570500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01608500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01611500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01632900-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01645704-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01645762-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646305-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01646500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01648010-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01649190-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01649500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01650800-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0165389205-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01654000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01654500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01656903-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01658000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0166818623-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0166818985-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_01673000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02035000-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02042222-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02079500-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208062765-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02081022-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02081094-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208114150-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208458892-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0208458893-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_0209303205-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
".temp_ts/nwis_02101726-ts_sw_nldas.rds"	FALSE	FALSE	FALSE	"2006-10-01"	"2016-03-01"
