"site_no","COMID","COMID_CONFIDENCE","AWC_AC","AWC_RE","BD_AC","BD_RE","CLAY_AC","CLAY_RE","KFACTUP_AC","KFACTUP_RE","OM_AC","OM_RE","Perm_AC","Perm_RE","ROCKDEP_AC","ROCKDEP_RE","Saline_AC","Saline_RE","SAND_AC","SAND_RE","SILT_AC","SILT_RE","SRL25_AC","SRL25_RE","SRL35_AC","SRL35_RE","SRL45_AC","SRL45_RE","SRL55_AC","SRL55_RE","WtDep_AC","WtDep_RE","HGA_AC","HGA_RE","HGAC_AC","HGAC_RE","HGAD_AC","HGAD_RE","HGB_AC","HGB_RE","HGBC_AC","HGBC_RE","HGBD_AC","HGBD_RE","HGC_AC","HGC_RE","HGCD_AC","HGCD_RE","HGD_AC","HGD_RE"
"nwis_01021050",5197168,"MOST_SURE",0.2085,0.1685,1.2737,1.177,11.5514,15.995,0.2156,0.219,7.307,6.24,2.3331,4.737,50.06,43.7715,0,0,29.1973,29.1091,59.2512,54.8959,0.1392,0,1.4568,16.4502,18.3683,76.1854,32.4735,77.8755,2.5153,3.274,3.5066,11,0,0,0.1271,0,10.6093,4,0,0,0,0,46.9858,23,13.8948,15,26.1722,47
"nwis_01036390",1736862,"MOST_SURE",0.2023,0.1832,1.2577,1.4361,12.4254,17.2325,0.2113,0.2505,7.9914,5.9648,2.5464,1.8569,50.9914,54.0153,0,0,29.2313,26.5591,58.3433,56.2084,2.6833,11.1957,4.6404,24.9884,9.7405,28.7868,29.1694,35.955,2.5963,2.1535,6.5506,4.4423,0,0,0.1627,4.0705,12.8685,0.9295,0,0,0,0,42.4918,75.0449,12.3398,9.4423,25.7168,6.0705
"nwis_01073389",5848650,"MAYBE2",0.1105,0.1113,1.4071,1.4051,5.5175,5.5414,0.2035,0.2039,1.8802,3.103,6.0076,5.9707,50.9151,51.2809,0,0,53.3393,53.4534,41.1432,41.0052,3.352,3.352,6.8733,6.8733,9.6409,9.6409,18.9219,18.9219,4.4549,4.3965,0,0,0,0,1.2672,1.6448,52.7328,52.3552,0,0,0,0,27.7456,28.5638,12.3104,11.8069,5.944,5.6293
"nwis_01193050",7701224,"MOST_SURE",0.1322,0.1037,1.3703,1.3921,6.1058,4.589,0.2432,0.2133,1.6194,2.5183,3.9732,8.4307,50.6824,55.4657,0,0,45.258,57.0281,48.6362,38.3829,0.5911,8.8067,1.4183,8.8067,5.6313,9.62,10.6552,9.6824,3.9854,4.5651,10.5882,28.7237,0,0,0.5565,3.3738,21.1622,40.9334,0,0,0,0,49.4063,20.3236,7.1625,5.0134,10.8992,0.5105
"nwis_01194750",7702872,"MAYBE2",0.132,0.1026,1.3712,1.3529,6.1048,4.5409,0.2421,0.2173,1.6611,2.2621,3.9917,9.5409,50.7342,57.1287,0.1904,7.75,45.3552,58.2949,48.54,37.1643,0.6145,0,1.4089,0,5.5033,0.009,10.4194,0.009,3.9878,4.5288,10.4035,33.3112,0,0,0.6362,3.6343,21.9463,38.8521,0,0,0,0,48.9352,17.1093,7.2173,2.6984,10.6265,2.2761
"nwis_01304057",9509806,"MAYBE2",0.0405,0.0405,1.47,1.47,3.029,3.029,0.17,0.17,0.21,0.21,17.035,17.035,57.423,57.423,0,0,83.5942,83.5942,13.3768,13.3768,0,0,0,0,0,0,0.0018,0.0018,5.794,5.794,87,87,0,0,0,0,8,8,0,0,0,0,0,0,0,0,5,5
"nwis_01304200",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01304562",9496582,"MAYBE2",0.065,0.075,1.4512,1.4825,4.3137,9.9365,0.2204,0.27,0.6776,1.97,14.1634,9.1945,56.644,29.072,129.4753,0,72.2481,56.6915,23.4382,33.372,0,0,0,0,0,0,0,0,5.4905,2.2245,44.5348,6,0.657,15,0,0,44.5055,16,0,0,0.0876,2,3.0044,0,0.0438,1,7.1595,60
"nwis_01310740",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01311143",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwis_01374019",6216172,"MAYBE2",0.1289,0.121,1.3925,1.439,12.2693,6.619,0.2677,0.21,2.0331,0.51,2.8851,3.3,47.4043,39.231,0,0,34.3379,45.8183,53.3927,47.5627,6.499,5.0554,12.0653,5.0554,20.0305,9.9591,30.7261,9.9591,3.7727,5.8685,9.7204,0,5e-04,0,1.3646,0,16.5495,63,0,0,0.1095,0,56.1347,0,7.3622,28,8.6877,9
"nwis_01382210",6246352,"MAYBE2",0.0732,0.1069,1.3864,1.3897,7.9053,8.8293,0.1898,0.2362,3.8893,3.5748,2.6606,7.6245,58.0218,56.6216,0,0,54.1013,53.285,37.9934,37.8858,13.4711,0,13.4711,0,19.2539,0,24.4263,4.0999,2.4937,3.8413,0.4119,23.6426,0,0,3.5784,5.9404,2.0144,44.3298,0,0,1.0045,6.8957,70.7733,10.983,1.3123,1.9702,20.9053,6.2383
"nwis_01388000",6250614,"MOST_SURE",0.1158,0.1145,1.4247,1.4441,7.9856,12.2786,0.226,0.29,1.0991,0.9376,3.8341,4.3505,43.6275,44.2316,0,0,44.0929,41.9567,47.9214,45.7647,5.5918,4.9637,11.9857,9.7368,15.2895,12.2278,40.6295,22.4414,4.4832,3.1654,4.5722,0.9272,0,0,0.4337,0,39.2663,32.9447,0,0,0,0,24.2624,31.9668,15.2787,3.6284,16.1825,30.5329
"nwis_01389005",6251122,"MOST_SURE",0.1036,0.1095,1.411,1.385,11.4527,11.6245,0.2401,0.262,2.1067,0.92,3.3217,7.7995,48.9159,41.1,0,0,44.397,49.8743,44.1503,38.5012,6.0022,4.9637,9.778,9.7368,12.9676,12.2278,25.1319,22.4414,3.3376,3.9825,1.9767,2,0,0,1.6864,0,23.9244,61,0,0,0.7462,0,42.6472,1,6.5308,0,22.6011,36
"nwis_01400500",9513852,"MOST_SURE",0.1202,0.1106,1.4256,1.3885,16.9775,12.1155,0.292,0.2663,1.4659,0.8806,3.6567,7.5162,48.3998,40.9917,0,0,33.6794,48.5063,49.3431,39.3782,0.963,0,5.7972,0,6.8934,0,9.2601,0,4.5459,4.0241,0.5416,1.8988,0,0,0.8803,0,50.0019,59.5327,0,0,0.9506,0,39.2796,4.2381,0.4311,0,7.9279,34.3304
"nwis_01408167",0,"NO_COMID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
